text,tag
uss talent ko phalne ki koi yozana hai ye education minister aur babu talent ko phalne aur phulane daingai nahi  ,CAG
talent ki kami nahi hai par talented log berozgar hai aur babu talented nahi ,CAG
kaun si sthaniya bhasa kaya aapke behtarin institute bhartiya bhashaon ko zara bhi mahtav dete ,CAG
kaya bat hai bhkati ke yug main aapne research ki bat kar dali sir kuch karna bhi ,NAG
rohit shetty khatron ke khiladi season summer participating bsgautham akshay kumar priyan ,NAG
bhatkaiye nai sir hum students ki v suniye or thora vacancy ko time pe karwa dijiye yehi humare liye vardan ,NAG
sir kabhi rojgar per bat kar ,NAG
chacha petrol aur diesel ke bhaav kam kar do aab to crude bhi sasta ho gaya hai ki jeb bharne me ,NAG
music hi uncha rakh skte hoo because tirange ,CAG
lagta hai sab logo ne vaccin leli hain jabhi itane pass pass khade hain ,NAG
sir mera mumy ki treatment ki wajase humlogoka sabkuc ,NAG
main up ko gmail main vhi mall kiya tha up se contact ,NAG
hello bhai aapse baat ho sakti h kya salman ,NAG
hi salman sir kese hu aap mai ksa me rehta hun mere ,NAG
i m your biggest fan sir mujha koi v kaam av nahi ,NAG
bhai hamen bhi madad chahie please help ,NAG
please mujhe aap se baat kerni hai sir ,NAG
sir ma am mujha koi v kaam av nahi meel raha hai ,NAG
salman khan sir please help me meri madat kijiye me  ,NAG
singer saare piche hain aur actors aage kuch to sharam karlo ,CAG
sar ap ke nam se ek letter likha tha kiya wo ap ko mila sar ,NAG
sabhi sath rhe or pyar se yahi india tha ha or ,NAG
love u bhai jaan from ,NAG
kabhi hamare sath bhi selfie karwaoge salman ,NAG
bhai ek shabd to farmers ke liye bhi banta hai ,NAG
plz ek bar bigboss me hume bhi bhej do sapna he ek ba ,NAG
bhai jan humlog bhut parisan hai pls aap sabki madf k ,NAG
sir maine voot par bigg boss ke liye ek audition diya ,NAG
kash hum ko bhi ek mauka mil jata with a great ,NAG
ek number bhai ,NAG
tum bhi bik gye zee news laga ,CAG
salman sir please help assam se bol rahi   ,NAG
sir please mujhe aap se baat kerni ,NAG
app devil ke pichhe devil aap ke pichhe ,NAG
sir we are also human ek saath lives dua denge sir ,NAG
beingsalmankhan sir selfie to yahan bhi dikh rahi h ,NAG
please help me bhai ,NAG
music league hai aur sare singers ko last me khada kiya hai ,NAG
ye bhi sahi ab ye media ki trending news ban jayegi ,NAG
sir please ek moka dijiye big boss ke bhakt hai ,NAG
love you bhai jaan salman khan bhai to bhaijaan hai s ,NAG
selfie to banta hai kyunki bhai jaan jo ,NAG
aaj late ho geyi mein ,NAG
mujhe aap se only minutes baat karni ,NAG
bhai aap selfi le rahe ho udher mar rahe hai unki selfi kon lega ,CAG
sir chhachundar lag rahe ho aap aapse achcha to pakistani prk ,OAG
yah show trp ke sare record tod dega kyunki so bhi to ,NAG
kabhi farmersprotest ya pe bhi kuch bol diya ,CAG
salman bhai please help me beingsalmankhan bhai jaan ,NAG
plz sir hamari madad ki jiye sir salman sir halat bah ,NAG
kyu re murderer photo khich raha hai desh ,OAG
hamare neta aur celebrity siff selfie me hi rah gaye ,NAG
chal bhaijaan selfie le lere ek chota selfie ,NAG
socha tha pathan se photo ,NAG
dekho dekho canadian ka baap a ,CAG
salman bhai aaj rat zee tv par pm lfk2iwfgsg  ,NAG
bhai aishwarya kasam aap ko pathan set ki pic bhi post karna ,NAG
please mujhe aap se baat kerni hai sir ,NAG
bhai jakky ki kasam thoda toa pathan k set se pic leak kardo ,NAG
bhai yrf bsdk se ab umeed nai aap hi kuch leak kard ,OAG
bhai koi jugaad hai kya pathaan k announcement ,NAG
radhe ka teaser do ,NAG
aaj toh friday hai ,NAG
so cute bhai jaan c5ez6ehq3l  ,NAG
are bhai pathan ka join kiya ,NAG
 sir aap jald se jald thik ho jaeiye get well soon ,NAG
 kuch asa likho jo samjhe logo ko sir ,NAG
 sushant ke liye stand le lo iski bad sab log sochenge aapke bare ,NAG
 sir mujhe job chahiye ,NAG
 yes sir be well abhi puri life hai baat karne kai ,NAG
 rozgar farmers petrol bahut kuch hai likhne ko lekin darr bhi ,CAG
 ye hai kya petrol price related kuchh hai kya ,NAG
 sir ji kabhi price hike ka bara ma to kuch twitte ,NAG
 sir mar q nahi jate ho aap plz mar jao petrol diesel ke price itna zada bad gaya hai aur ab nahi bol r ,OAG
 ye bhi retweet kiya logon ne ,NAG
 ye allahabad ka lala hai hisab kitab rakhna pushtaini kaam hai tweets ka bhi pakka hisab rakha hua hai ,CAG
 sir ji agr aisa hi karte rhe to ek din aisa aayega log boycottamitabh ka trend shurukar dege ,NAG
 sir aapke office se call aa rahe hai aur jaisa audio me bola ja raha h thik vahi bat batai ja rahi h ky ,CAG
 farmerso ke uppr bolo na kuchh jinka khate ho unke liye aapke pass words nhi h or sbke baare me h ,CAG
 bachan sir waise bhi hm bihar se hhamko ye pata nhi h ki ye t kya h sir please aap bata ,NAG
 waise aapne t karne ke baad bhi duniya me hi ho kaafi din chal ,NAG
 sir petrol ke liye loan chahiye loan karva ,NAG
 hot hi sir aisa bi hota ,NAG
 sir yeh numbers kya hote ,NAG
 mananiy amitabh bacchan ji mera name santosh kumar hai main to anpara se viklang meri wife aur main ter ,NAG
 aab tak tweet kiyee farmerso ke haq main v bolo uncle bhai ,NAG
 ab patrol ke dam nai badd rahe ab aap kyo chup aa mudi ke kuttee sharmkaro ,OAG
 maafi mangne se kaam nahi chalegaa fascist ke samne khulkar likhiye ,OAG
 jin yuva darshakon ne aapko kamyabi ki bulandiyon tak pahunchya unke samarthan main aapse ek tweet nahi ,NAG
 itna name aur shohrat kamanene ke bad bhi agar sarkar ki buri nitiyon ke khilaf ek tweet nahin kar sakte ho to aap buj dil ho ,CAG
 hindustan ki janta se aise hi haath jod kar maafi maang lo show some guts and support the farmers of ,CAG
 gay insan kissanektajindabad bare bhi bol ,CAG
 get well soon big  ,NAG
 chacha petrol ke rate bata rahe ,NAG
 aap ye b band karne ke liye kya loge ya meri maar lo par band karo mai so nahi pa raha hu a ,OAG
 play kbc with big b final question ,NAG
 t baar mere taraf se c b or haan abhi modi bhi petrol diesel kar de aap log kuch ,NAG
 ye bachkana harkat karna chhod dijiye sir please ,CAG
 shabdon ke badshah sir  inka darr hai ya direct inke papa ,NAG
 job kishan aur navjvan ki help ,NAG
 t sayad aap bimar ho isliye faltu post karne lage ho kuch karna hai to petrol and diesel and kishan ,CAG
 sir ka ye code hai jo inke es kode ko bata dega sayad sir use jindgi ki o shari khushiya de ,NAG
 petrol diesel pe bolne vaale aaj chup kyu hai ,CAG
 kya bachodi hai bey chutiye buddhy time nikalky marjaa bhai ,OAG
 sir ji government ko kuch bolo yuva log presaan hai job ke bare ek bar kuch to bol do please ,NAG
 sar main bhi aapki hi film dekh raha tha film ka name hai ,NAG
 main bhi aap ko pasand kiya karta tha isliye thodi dua nikla jati hai you get well soon fan to ,NAG
 hippocrasi ki bhi koi seema hoti ,CAG
 sir ek baar jawaab dedo ye number ,NAG
 your biggest fan sir mujha koi v kaam av nahi meel raha hai sir mujha kaam chahiye koi v kaam ,NAG
 ji farmers samarthan mein kuchh bolenge petrol ki rate pr kya khyal hai log rojgar ,NAG
 is baar number sahi dala hai lagta hai pani zyada dala ,CAG
 bhagwan app ke sath hai big  ,NAG
 amitabh ji petrol ke bareme kuch to ,NAG
 are ap abhi jinda hai hospital me the ,NAG
 ab ji aap bimaar hai good par aapki aatma to kab ki mar chuki hai ,OAG
 help chahiye tha shar garib hu job chahiye ,NAG
 sir apni car ka number pura he likh ,NAG
 kyaaboltitu ye try karke ,NAG
 petrrol ka kimat ky hai k bath ka ap ko yaad v hai ,NAG
 modi ke khilaf twit nhi karoge petrol pahuch gya hai ,NAG
 number se itna kya farak padne wala hai aapka tweet number koi yaad nahi rakh raha hai idhar jo conte ,NAG
 amit sir galti se aapka phone aapki grand daughter ke hath lag gya hai please take care kuch ulta sidha na daal de ,NAG
 vo petrol ke liye aap loan lene vale the n me ab jarurat nahi hai kya petrol loan ,NAG
 ab kya hua amit ji ab to petrol ke dam bahut saste ho gaye eske bare me aap apna raye dijiye ,NAG
 sir do rupya ko ab petrol dekh skte ho spray nhi kar skte ,NAG
 sir app ka modi ji shate kitne may deal desh ko bech ne ,CAG
 amitabh jee ko ab advertising nahi karna chahiye besharmi ki hadd hoti hai log dekhte hi channel badal dete ,CAG
 sir par ke bare ssc ke bar student ke sat ek bar to khade ho jao are khade ka ek tiwt hi kar do atma ki santi mil jaye ,NAG
 amitaabji main aap bada fan ,NAG
sir kuch ham students ke liye bhi bol dijiye ik tweet kar dijiye bas kuch nhi chahiye please sir ,NAG
kabhi rojgar ke uper bhi tweet kar liya karo ,NAG
yaha baccho ka future destroy ho raha hai vo bhi to dekhiye sir jawab dijiye jo ,CAG
modi ji kyun agli baar k liye raste band kar rhe ho apne thoda soch lo ek chota sa ,CAG
bhago mat chuppi mat sadho ignore mat karo students sawal pooch rhe h jawab do ye whi students ,CAG
jaanwaro ko bhi honesty and loyalty jaisi cheese maloom hoti hai aur unko follow bhi karte hai animal ,CAG
pe bhi kuch trend kar rha h ek baar dekh ,NAG
no pr jo trend kar raha ha uske bare mee bhii boliye aur abhi kuch derr mee no pr aa jayega modi_job_do  ,NAG
apne in lammbe bhasno s age badho desh k yuva ko rojgar do modi_jawab_do  ,NAG
aree aap phir faltu kii baat kar rahe ha rojgar kii baat kariye aap ek bhii company open nhii karva ,CAG
modi hai toh petrol price bhi munkin hai ,NAG
 jai shiva s love for all shiva shiva shiva shiva shiva shiva shiva in all om shiva om ,NAG
jungali janwar ko hi bolna ki tumhen vote dekar pm banaye kyunki tumhen ab insan se pyar to hai nahin ,CAG
tum to pura animal ko bacha kar aur pura inshan ko barbad kar rahe ,CAG
sir ham logo ko jwab chahiye jo ham logon ne ko jo tweet kiya tha uska kaya aapke dil mein ,NAG
sunday ka plan kya hein ,NAG
qu bhai fir koi gaana flop kar ,CAG
konse song ki maa chodi bhaiya ,OAG
maaf kar bhai aur gana na nikalio kan mein se khoon nikalta hai agar galti se sun jae ,CAG
kyu app ko itni khusibkaha sei milti hai hum to apne school ke homework karte karte thack gaye waise ,NAG
please is baat pe koi naya gaana na bana dena ,NAG
bhai tu jab bhi happy hota sala hum logo ko tension hone lagta hai ki kahin ye naya bawasheer na ,CAG
kash ek song mujhe gane ko mile aapke sath ,NAG
bus kya abhi bachhe log ka natak bundh mumbaisaga bap log ka game chalu ,OAG
kyo bhai modi ne job dila di ,NAG
bro kuch aisa karo jo logo ko rozgar mile ye naye naye gane se kya sikha rhe ,NAG
wah yeh toh ban gya gaana gaana gaana super happy ganaa gaana gaana million hai ise pahunchana ,NAG
tum chahte tho gulambi mil samkti thi vro pamr tu kaamli se khus horaha ha thims is whamt camlled tu ,CAG
kis bat ki khushi h bhai share karo hme b khushi ka moqa ,NAG
phir se kayi logon ki kaan ka operation hone wala hai lagta ,CAG
oh usne bola kunwara hai single nahi bola zyada khush nahi ho tere bhabhi vo hi banege ,NAG
u can do it tony ji propose kar hi do ,NAG
pawri ho rahi hai ,NAG
or veere kyu intne khush ho vajah clear kar do nhi toh tumhare mentions saare ek baat se bhar jaayenge hope u get it ,NAG
teri super happy hum sab ke liye khatre ki ghanti hai kuy karte ho aese pichli bar wala song sunn ke ,NAG
dekh usne yeh nai bola ki single hai usne bola bachelor hai iss route ki sabhi line vyaast hai karipya ,NAG
super happy na tho ja kar bol do ab apne dil ki baat usko dekho koi aur saath de na ,NAG
tere liye assurance nahi hai bhai udhar kuch nahi hona koi naya dhund warna channa mereya sunna ,NAG
sid bhai ka comment dekhne ke baad bahut khush dikh rahe beta wo tumhari hi hai kenadaaa jao aur je l ,NAG
bhaag jao warna tumhara booty shake ho jaega abhi yhi perabhi humare hero ko jaa ,CAG
tonny sir abhi moka is baar bol hi ,NAG
dp hatawo sale bhosadike lag rahe ,OAG
humko pata iski koi single hai ,NAG
tony bhai gana bnd kardo yar pliz pichli bar bhi tumhar aawaz sunkar mrte mrte bchi thi dhickak pooja ke ,CAG
tony koi good news hai humse share nahi ,NAG
tony mast chance hai abhi ,NAG
himmat dikhao aaj or bol daalo aise chup chup ke pyar kb tk karoge kuch daring kar yr ,NAG
yeh khush hai line saaf hai iskey ,NAG
aapki khushi ka raaz jaante h bas ab propose kardo taaki sid se hnesha ke liye peetcha chut ,NAG
ye timing kaise set hoti hai tumhari har ,NAG
aab vo free h enjoy ,NAG
sir aap bataye nahi jasmin aur aly k saath mv karne k baare mein ,NAG
sir humari bat pr bhi dhyan do modi_rojgar_do  ,NAG
  life me pehli baar sahi cheez pe aawaz uthi ho raid pr gya kya ,NAG
  raid kaisa chal raha hai chamchi ,CAG
  it raid ,NAG
  are chutiya aurat study iq pe video bani h is case ki vo dekhle seedhe bhokne na lag jaaya ,OAG
  judge bhi saste nashe kar k judgement de rahe hai aajkal ,CAG
  rapists ko noukar nhi banaye aur husband banaye soch kar hi gussa aata ,OAG
  ye new india hai yahan judge ko faisla pmo se order hota hai after retirement bjp se rajya sabha bhi to ja ,CAG
  ek to usne rap kiya pata nahi usme aur kon ko si bury aadat hogi to larki ko to pucho ke usko shadi karni hai ya nahi salo ,CAG
  isko harek cheej se problem ,CAG
  bhakt yaha aake ise bhi justif kar denge ,NAG
  aise too koyi b kissi b ladki ka rape kar k us se shadi kare ga cahe ladki ko voh ladka pasand ho ya na ho ,CAG
  rapist ki shaadi karwane ki jagha uska sir udha dene chaheye ,OAG
  galat nu galat hi kehna chahida so sikhlo hale v time hega apni roots nu v phechan da ehi time hai mauka ,NAG
  sab headlines ke liye adha adhuri bat ko publish kar dete hain aur phir celebrity gyan pelne lagte hain ,CAG
  judiciary ka name satya hai ,NAG
  traditionalindianthought gajab karte hain yeh judge log wah ,CAG
  anilkapoor ke movie ke dialogue yaad aayaa kuch mangalsoothra ghareedlo and rape and shadi rape and shadi discusting ,OAG
  rapist ghoshit hone pe hi usko goli maar deni chahiye na court na order sidha insaaf ta k aage rape ,OAG
  my name is harish joshi from uttarakhand bageshwar m b e d karna chahta hu m poor fa ,NAG
  ye konsa swaal hua ek ladki ek aise ladke ke sath shaadi kar hi nhi sakti bhenchod ye konsa judge hai ,OAG
islam me convert tho nahi ho rahe ho kahe ,CAG
student ka bhi kat raha ,NAG
theshwetasingh aapne manali may katvali ,NAG
bhai tumhara twitter use karne ka andaz bada hi mast hai ,NAG
indian me khi bhi kat jata h kisika bhi aur aap to star ho ,NAG
salingerous tu bhi aisi selfie lena ,NAG
manali me baal katwa rhe ho bhaiya mannat hai kya ,NAG
bade log manali mei jaake katate hai ,NAG
katwane gye the manali tak ,CAG
mannat mangi thi ky ,NAG
bhai tu itna popular nehi hai jitna tu samaj tha ,NAG
katwane ke liye manali jaana zaruri ghar pe baithe baithe hi karti jata hai ,NAG
momo dene wale bhaiya baal bhi kat lete hain ,NAG
pata hai ye manali me baal katwa ta h juso14qdok  ,NAG
agreeneyedmnstr tu ye dekhtere hairs yaad aa gye ,NAG
kejriwal ko bolo wo katega sahi se jaise delhi walon ka kata ,CAG
chahe mujhe koi jungle kahe ,NAG
kyon kya money hiest ka remake nahi karna hai ,NAG
bahut hi wierd look hai bhai please jaldi se katwa lo ,CAG
arey yaar kuki pie ,NAG
maine bhi manali me hi shaving karwaii thi in ,NAG
kartik bhai manaali to hum jese garib jaate hai jo switzerland nahi jaa dekh kar khushi hui ,NAG
caption ishbar chalan nahi kuch aur katega ,NAG
chote hi change lagde chote vaal rakheyaa kar ,NAG
humara to delhi main cut raha hai woh bhi sarakar ke ,NAG
bhai kangana se bach kar rahena woh pura kaat deti hai abhi manali mai he hai ,CAG
to fir bhul bhlaiya ki shooting kaise ,NAG
 jitna chamkane me aur name badlne me kharch kiya agar uska 00001% bhi pitch ,CAG
 unn dono ka jeb se paisa laga hai aapko bulaya bhi nahi cricket me ,NAG
 stadium accha banaya hai par pitch tatti bana di sone ki thali me ,CAG
 post k liye kya kya karna padta hai ,NAG
 rajya sabha confirmed dada ,NAG
 _dharam_vir isme pura ahmedabad match dekh sakta hai ek saath baith ke ,NAG
 job pakki hai bhai ,NAG
 modiji and amit shah ko isliye dhanyawad bola jaa raha hai kyunki gujarat gover ,CAG
 kya kami thi dada jo ye sab karna pad raha hamare hero hai aap ye bengal ,NAG
 thanks amit shah unhone apne haath se ghaas lagayi hai pitch ,NAG
 honorable toh nhi hai na hi leadership ,NAG
 dada ne soch liya he politics me aane ka abhi se lick karna start kar diya ,CAG
 jay shah ko tag nahi kiya noukari na chale jaye thoda dekh ke tweet kiya karo ,CAG
 sabse tez phekne wale ka khud ka stadium waah aab practice me koi kami nhi ,NAG
 woh sb chodho shakha man ye btao permanent shakha patta kab pahan rahe hai ,NAG
 name m kiya rakha badal diya jayega fir ,NAG
 ek kaam karo tum sab milke amadabad ko hi capital banado neu12tv1of  ,CAG
 patel ke nam pe vote patelo ko ijjat nahi di rone wale ab kaha mar gaye madarchod,OAG
 bhai kuch credit gcamotera ka b hain ,NAG
  stadium me kuch problem ho to modi ko gaali do lekin agar stadium acha ba ,NAG
 ab isme modi aur amit shah ka kya kaam har baat mai goverment officials ko lena zaroori hai ,NAG
 chairman ko bhi inta praise nahi milta tha ,NAG
 ranga billa ka name na liye kuch hazam nahi hota bsdk dada aapko ,OAG
 get well soon dada ,NAG
 dada ami apnak speed post korechilam pls ektu dekhe janaben ami apnar okhne giy ,NAG
 bhai baar hogya amit shah good ,NAG
madam please mujhe a koi koi chhota motor roll dila ,NAG
 akshaysuniverseisko bej diya na canada 9bybckxoq8  ,NAG
kabhi ham fans ke liye bhi tweet kar diya karo ,NAG
kuch to sarm karo bhchd ki farmers road per he aur tu ,OAG
asalam o alaikum to all friends i m jobless ,NAG
berojgar ko bhi kbhi support kar ligiye ,NAG
ek banda lic agent uski ki gyi har insur ,NAG
  apne dil ke awaaj suno yaha to log mitte ki khusbu se bata dete ke kis state se ayye fir aa ,NAG
  kal aayega gali me thele wala leke kilo ke bhav kharid lijiyega madam ,CAG
  aap direct pm se puchh sakti hai vo bata denge log tarah ki baate itna time kyu barbaad kar rhi ,CAG
  aasli kabhi nahi aayegi duplicate aa ,NAG
  bahar ke deshon me test horahi hai abhi pehle videshiyon par test hone do sabar rakho ab ki  ,CAG
  prada ki vaccine aaegi tab lagwana ,NAG
  are news paper news channel govt of india ke website bhi dekha baaki phaltu ke kaam karti ,CAG
  pehle kehte the corona kuch nahi hai sab govt ka khel hai who se rupees lene ab vaccine kyu chahiye sab ko ,CAG
  itna re tweet kardo ki saara twitter dhuan dhuan ho jaye bheekh nhi ab apna haqq chahiye modi_rojgar_do  ,OAG
  sonam ji very kuch time wait karne ke baad hi pata chalega ki kya sahi hai aur kya galat ,CAG
  mat lagwana tumhare liye pakistan wale china ka maal bhejenge wo hi accept karegi tumhari ,OAG
  vaccine leke bhi fayda kya he mam mujhe firse corona ,NAG
  coronil khao khud jaan se jao ,CAG
  news dekh lo madam ya ye bhi swara ,CAG
  coronil khulayein corona ,NAG
  news dekh liya karo sab cheej social media se hi confirm karogi to confuse hi hogi ,CAG
yrr me isi ka wait kar raha tha finally ek bhai ne dusre bhai ko wish kardiya you both are amazing ,NAG
neem ka patta kadwa hai berojgar tiktik bhadwa ,OAG
chinfi star hawasi berozgaar bhadv,OAG
ye benchod mere paas ek script hai bol kam karega mere sath ,OAG
we want vikaram ,NAG
itigershroff thanks bhai iss naale ko dene ke ,CAG
baap ko izzat se wish kar nalle  mdrchd,OAG
tu abhi yaha bday wish kar eaha hai meanwhile arjun aur suzanne ka https:  t ,NAG
bhai meri beti ka bhi birthday hai wish kar ,NAG
tabhi sochu sabse bade bhadwe ka tweet kaise nahi aaya ,OAG
ab sath me shradha kappor ko bhi wish kar ,NAG
march ki badhai march ko hadh ho gayi ,NAG
arre mera bhai birthday khatam ho gaya uske baad aap wish kar rahe ho kya aaj waise ,NAG
seekho kuch kab tak ad karte ,NAG
written by rajat arora ye huyi na baat chutiya samji ko dur ,OAG
 itigershroff urstrulykabirngemovies apna khud ka ke poster to ban nahi pata tu ,CAG
ab ye kon si movie ki remake hogi i wish ho bhi toh dekhi naa ,NAG
is baar kon kidnap ho raha ,NAG
iss baar pakka hero ki tarah dikhoge na bhai kyuki last ,NAG
film golden jubilee hit hoga jai ,NAG
haters ki gaand faat gyi hogi foster ,OAG
thik hai thik hai pehle happy birthday bhai ,NAG
tumhe aati nhi meri jaati nhi heropanthi ,NAG
tiger destroyed rajiv jhariya ,NAG
jabardast maza aa gaya poster dekh ,NAG
comments me jis jis ki gaand jali hai unke liye ,CAG
baghi aur me john rambo ki maa behen ki ab is film me john wick ki ,OAG
 dishpatani yaar i think pehli baar kuch acha tweet ki ho ,NAG
 dishpatani ab aap bhi paiso ke liye tweet karengi ,NAG
ap ky hagai to kana eat para hai os ka vallian kon hai ,NAG
macha diya disha patani ne ek villan returns ,NAG
basket ball khelati bhi ho kya sirf style ke liye pehena hai ,NAG
kiya aap meri help kar sakti ,NAG
rahul gandhi is the best   ,NAG
godi media me berojgaar youth ki problem par kahi bhi sach nhi dikhaya ab teacher ,NAG
dear madam mai bahut garib paribarse hu mujhe kuch help chaihe mai asa karti hu mera ba ,NAG
tumhara sunday deekh kar hamare monday maan gya ,NAG
aap ko guru randhawa be like kiya he to me bhi karti ,NAG
aisa sunday ke liye to week ka baanki din jaan de kar log intezaar kareinge ,NAG
are sir kabhi toh apni constituency ke liye bhi bat kar liya karo logo ne aapko faltu ,CAG
sir good morning sir aap kabhi brojgari k mudde par bhi sansad bhawan mein bat kar li ,NAG
sir aapka jan rasoi me khana am tak hi khatam ho jata hai address new ashok ,NAG
modi ko boliye youth ki bhi sune ,NAG
are gambhir abhi ek match baki hai abhi tweet nahi karna ,NAG
2 words rojgar pe v bol do gauti bhai bjp me jane ke bad jameer ko hi bech chuke kya ,CAG
yuvstrong12 aisa simple tweet bhi kiya jaa sakta hai ,NAG
bhai ashwin ko najar mat laga india ko match aur jitna ,NAG
  baap jesa sahi kaha he logo ne tu chahal ko bhangi bolta he firstly khudh ka giriban jakk bhadwe ,OAG
chutya foreigners kiye toh chamatkar hum kiye toh balatkar ,OAG
jara ap ye batao apne kitna test ,NAG
